SCHOOL,COACH,ASST TOTAL PAY,ASST BONUS,ASST PAY TOTAL
Louisiana State,Dave Aranda,"$2,500,000 ","$150,000 ","$6,645,000 "
Clemson,Brent Venables,"$2,201,500 ","$195,000 ","$7,410,000 "
Texas A&M,Mike Elko,"$2,100,000 ","$280,000 ","$7,145,215 "
Auburn,Kevin Steele,"$1,900,500 ","$515,000 ","$5,902,500 "
Florida,Todd Grantham,"$1,801,500 ","$720,000 ","$5,752,000 "
Texas,Todd Orlando,"$1,710,000 ","$95,000 ","$5,955,699 "
Alabama,Steve Sarkisian,"$1,550,000 ","$312,000 ","$7,541,277 "
Arkansas,John Chavis,"$1,500,000 ","$133,333 ","$4,925,000 "
Mississippi,Mike MacIntyre,"$1,500,000 ","$200,000 ","$5,475,000 "
Michigan,Don Brown,"$1,500,000 ","$683,333 ","$6,005,000 "
Tennessee,Jim Chaney,"$1,500,000 ","$120,000 ","$6,985,000 "
Washington,Jimmy Lake,"$1,400,016 ","$91,000 ","$5,940,048 "
Oklahoma,Alex Grinch,"$1,400,000 ","$280,000 ","$5,835,000 "
South Carolina,Travaris Robinson,"$1,200,000 ","$115,000 ","$5,635,000 "
Alabama,Pete Golding,"$1,100,000 ","$242,000 ","$7,541,277 "
Michigan,Josh Gattis,"$1,100,000 ","$550,000 ","$6,005,000 "
Ohio State,Greg Mattison,"$1,100,000 ","$420,750 ","$7,245,000 "
Baylor,Phil Snow,"$1,052,253 ",--,--
Florida State,Kendal Briles,"$1,020,000 ","$174,167 ","$5,106,583 "
Clemson,Tony Elliott,"$1,001,500 ","$95,000 ","$7,410,000 "
Clemson,Jeff Scott,"$1,001,500 ","$95,000 ","$7,410,000 "
Virginia Tech,Bud Foster,"$1,000,000 ","$92,500 ","$3,670,000 "
Tennessee,Derrick Ansley,"$1,000,000 ","$120,000 ","$6,985,000 "
South Carolina,Bryan McClendon,"$1,000,000 ","$115,000 ","$5,635,000 "
Florida State,Harlon Barnett,"$980,000 ","$170,833 ","$5,106,583 "
Texas Christian,Sonny Cumbie,"$975,437 ",--,--
Wisconsin,Jim Leonhard,"$961,866 ",--,"$4,370,811 "
Georgia,James Coley,"$955,500 ","$234,000 ","$6,212,935 "
Washington,Pete Kwiatkowski,"$950,004 ","$91,000 ","$5,940,048 "
Ohio State,Jeff Hafley,"$950,000 ","$524,875 ","$7,245,000 "
Ohio State,Mike Yurcich,"$950,000 ","$363,375 ","$7,245,000 "
Ohio State,Kevin Wilson,"$950,000 ","$363,375 ","$7,245,000 "
Missouri,Derek Dooley,"$925,000 ","$165,000 ","$4,729,500 "
Georgia,Sam Pittman,"$905,000 ","$225,000 ","$6,212,935 "
Ohio State,Larry Johnson,"$900,000 ","$344,250 ","$7,245,000 "
Mississippi,Rich Rodriguez,"$900,000 ","$200,000 ","$5,475,000 "
Kentucky,Eddie Gran,"$876,200 ","$145,833 ","$5,147,350 "
Iowa State,Jon Heacock,"$850,000 ","$170,000 ","$4,236,600 "
Oregon,Marcus Arroyo,"$825,000 ","$130,000 ","$4,967,000 "
Utah,Andy Ludwig,"$820,000 ","$68,333 ","$4,140,000 "
Utah,Morgan Scalley,"$820,000 ","$68,333 ","$4,140,000 "
Texas A&M,Darrell Dickey,"$808,600 ","$170,000 ","$7,145,215 "
California,Tim DeRuyter,"$808,500 ","$50,000 ","$4,084,100 "
Tennessee,Chris Rumph,"$805,000 ","$120,000 ","$6,985,000 "
Tennessee,Will Friend,"$805,000 ","$120,000 ","$6,985,000 "
Nebraska,Erik Chinander,"$800,000 ","$320,000 ","$4,475,000 "
Iowa,Phil Parker,"$800,000 ",--,"$4,710,600 "
Alabama,Charles Kelly,"$800,000 ","$176,000 ","$7,541,277 "
Missouri,Ryan Walters,"$800,000 ","$165,000 ","$4,729,500 "
Louisiana State,Steve Ensminger,"$800,000 ","$275,000 ","$6,645,000 "
Maryland,Scottie Montgomery,"$800,000 ","$225,000 ","$3,690,000 "
Texas,Tim Beck,"$800,000 ","$95,000 ","$5,955,699 "
Illinois,Rod Smith,"$800,000 ","$294,000 ","$3,446,000 "
Indiana,Kalen DeBoer,"$800,000 ","$141,667 ","$3,693,922 "
Iowa,Brian Ferentz,"$775,600 ",--,"$4,710,600 "
Wisconsin,Joe Rudolph,"$770,200 ",--,"$4,370,811 "
Oregon,Andy Avalos,"$765,000 ","$130,000 ","$4,967,000 "
Georgia,Dan Lanning,"$755,500 ","$234,000 ","$6,212,935 "
Washington,Bush Hamdan,"$750,000 ","$91,000 ","$5,940,048 "
Alabama,Brian Baker,"$750,000 ","$165,000 ","$7,541,277 "
Arizona State,Rob Likens,"$750,000 ","$135,000 ","$4,035,000 "
Oklahoma,Bill Bedenbaugh,"$750,000 ","$140,000 ","$5,835,000 "
Georgia,Charlton Warren,"$725,435 ","$210,000 ","$6,212,935 "
Michigan State,Mike Tressel,"$725,000 ","$250,269 ","$4,902,552 "
Minnesota,Kirk Ciarrocca,"$720,000 ","$145,000 ","$3,055,000 "
Tennessee,Kevin Sherrer,"$705,000 ","$120,000 ","$6,985,000 "
Auburn,Rodney Garner,"$700,500 ","$202,500 ","$5,902,500 "
South Carolina,Eric Wolford,"$700,000 ","$115,000 ","$5,635,000 "
Nebraska,Troy Walters,"$700,000 ","$280,000 ","$4,475,000 "
UCLA,Jerry Azzinaro,"$700,000 ","$100,000 ","$4,230,800 "
South Carolina,Dan Werner,"$700,000 ","$115,000 ","$5,635,000 "
UCLA,Justin Frye,"$700,000 ","$100,000 ","$4,230,800 "
Penn State,Brent Pry,"$693,503 ",--,--
California,Peter Sirmon,"$679,200 ","$50,000 ","$4,084,100 "
Purdue,Nick Holt,"$670,000 ","$300,750 ","$3,535,000 "
Georgia,Dell McGee,"$654,500 ","$210,000 ","$6,212,935 "
California,Beau Baldwin,"$651,500 ","$50,000 ","$4,084,100 "
West Virginia,Vic Koenning,"$651,000 ","$95,000 ","$3,290,000 "
Texas,Herb Hand,"$650,000 ","$95,000 ","$5,955,699 "
Oregon,Joe Salave'a,"$650,000 ","$130,000 ","$4,967,000 "
Iowa State,Tom Manning,"$650,000 ","$130,000 ","$4,236,600 "
Maryland,Jon Hoke,"$650,000 ","$225,000 ","$3,690,000 "
Alabama,Kyle Flood,"$650,000 ","$143,000 ","$7,541,277 "
Louisville,Bryan Brown,"$650,000 ","$97,500 ","$3,820,000 "
Louisville,Dwayne Ledford,"$650,000 ","$97,500 ","$3,820,000 "
Alabama,Sal Sunseri,"$650,000 ","$143,000 ","$7,541,277 "
NC State,Dave Huxtable,"$640,000 ","$175,000 ","$3,795,000 "
Kentucky,Brad White,"$625,000 ","$104,167 ","$5,147,350 "
Michigan,Ed Warinner,"$625,000 ","$233,333 ","$6,005,000 "
Rutgers,John McNulty,"$625,000 ","$152,083 ","$3,221,042 "
Iowa,Ken O'Keefe,"$625,000 ",--,"$4,710,600 "
Texas A&M,Josh Henson,"$604,615 ","$105,000 ","$7,145,215 "
Florida,Billy Gonzales,"$601,500 ","$240,000 ","$5,752,000 "
Florida,John Hevesy,"$601,500 ","$240,000 ","$5,752,000 "
Kentucky,Vince Marrow,"$600,900 ","$100,000 ","$5,147,350 "
Texas Tech,David Yost,"$600,000 ","$200,000 ","$3,331,333 "
North Carolina,Phil Longo,"$600,000 ","$100,000 ","$4,075,000 "
Oklahoma State,Jim Knowles,"$600,000 ","$165,000 ","$4,210,000 "
North Carolina,Jay Bateman,"$600,000 ","$100,000 ","$4,075,000 "
Texas A&M,Dameyune Craig,"$600,000 ","$105,000 ","$7,145,215 "
Arizona,Noel Mazzone,"$600,000 ","$55,000 ","$2,990,000 "
Oregon,Keith Heyward,"$600,000 ","$130,000 ","$4,967,000 "
Mississippi State,Bob Shoop,"$600,000 ","$50,000 ","$3,680,000 "
Ohio State,Tony Alford,"$600,000 ","$229,500 ","$7,245,000 "
Arkansas,Joe Craddock IV,"$600,000 ","$133,333 ","$4,925,000 "
Georgia Tech,Brent Key,"$600,000 ",--,"$3,205,000 "
Oklahoma State,Kasey Dunn,"$600,000 ","$152,500 ","$4,210,000 "
Louisiana State,Tommie Robinson,"$600,000 ","$125,000 ","$6,645,000 "
Ohio State,Greg Studrawa,"$600,000 ","$229,500 ","$7,245,000 "
Texas Tech,Keith Patterson,"$600,000 ","$200,000 ","$3,331,333 "
Washington State,Tracy Claeys,"$583,333 ","$147,500 ","$3,463,790 "
Texas A&M,Elijah Robinson,"$583,000 ","$105,000 ","$7,145,215 "
Oregon State,Tim Tibesar,"$575,004 ","$45,834 ","$3,100,056 "
Arizona State,Danny Gonzales,"$575,000 ","$131,500 ","$4,035,000 "
Oklahoma,Ruffin McNeill,"$575,000 ","$115,000 ","$5,835,000 "
Clemson,Robbie Caldwell,"$571,500 ","$95,000 ","$7,410,000 "
Michigan State,Brad Salem,"$563,000 ","$194,192 ","$4,902,552 "
Michigan State,Dave Warner,"$562,001 ","$193,847 ","$4,902,552 "
Arizona,Marcel Yates,"$560,000 ","$55,000 ","$2,990,000 "
Georgia,Glenn Schumann,"$555,500 ","$195,000 ","$6,212,935 "
Georgia,Cortez Hankton,"$555,500 ","$195,000 ","$6,212,935 "
Colorado,Jay Johnson,"$550,625 ","$105,769 ","$3,155,000 "
Washington,Bob Gregory,"$550,008 ","$91,000 ","$5,940,048 "
Washington,Scott Huff,"$550,008 ","$91,000 ","$5,940,048 "
Texas A&M,Jay Graham,"$550,000 ","$105,000 ","$7,145,215 "
Kansas State,Scottie Hazelton,"$550,000 ","$196,000 ","$3,475,700 "
Utah,Jim Harding,"$550,000 ","$45,833 ","$4,140,000 "
Virginia,Robert Anae,"$550,000 ","$137,500 ","$3,400,000 "
Oklahoma State,Sean Gleeson,"$550,000 ","$152,500 ","$4,210,000 "
Virginia,Nick Howell,"$550,000 ","$100,000 ","$3,400,000 "
Michigan State,Jim Bollman,"$542,001 ","$186,923 ","$4,902,552 "
Alabama,Jeff Banks,"$541,277 ","$143,000 ","$7,541,277 "
Oklahoma,Cale Gundy,"$535,000 ","$107,000 ","$5,835,000 "
Alabama,Charles Huff,"$525,000 ","$115,500 ","$7,541,277 "
Rutgers,Andy Buh,"$525,000 ","$43,750 ","$3,221,042 "
Texas,Stanley Drayton,"$525,000 ","$95,000 ","$5,955,699 "
Kentucky,Jon Sumrall,"$525,000 ","$87,500 ","$5,147,350 "
Alabama,Karl Scott,"$525,000 ","$115,500 ","$7,541,277 "
Missouri,Brick Haley,"$515,000 ","$165,000 ","$4,729,500 "
Missouri,Brad Davis,"$510,000 ","$165,000 ","$4,729,500 "
Texas A&M,Terry Price,"$508,000 ","$105,000 ","$7,145,215 "
Texas A&M,Bradley Dale Peveto,"$508,000 ","$105,000 ","$7,145,215 "
Clemson,Danny Pearman,"$506,500 ","$95,000 ","$7,410,000 "
Tennessee,Tracy Rocker,"$505,000 ","$120,000 ","$6,985,000 "
Tennessee,David Johnson,"$505,000 ","$120,000 ","$6,985,000 "
Clemson,Brandon Streeter,"$501,500 ","$95,000 ","$7,410,000 "
Kentucky,Darin Hinshaw,"$500,900 ","$83,333 ","$5,147,350 "
Colorado,Tyson Summers,"$500,625 ","$96,154 ","$3,155,000 "
Colorado,Darrin Chiaverini,"$500,625 ","$96,153 ","$3,155,000 "
Auburn,Larry Porter,"$500,500 ","$158,750 ","$5,902,500 "
Oregon State,Brian Lindgren,"$500,004 ","$41,667 ","$3,100,056 "
Houston,Brandon Jones,"$500,000 ","$93,750 ","$2,925,000 "
Ohio State,Al Washington,"$500,000 ","$191,250 ","$7,245,000 "
Iowa,Seth Wallace,"$500,000 ",--,"$4,710,600 "
Auburn,Kenny Dillingham,"$500,000 ","$165,000 ","$5,902,500 "
Kansas,Clint Bowen,"$500,000 ","$150,000 ","$3,515,000 "
North Carolina,Tommy Thigpen,"$500,000 ","$83,333 ","$4,075,000 "
Michigan,Chris Partridge,"$500,000 ","$171,875 ","$6,005,000 "
Kansas,Les Koenning,"$500,000 ","$150,000 ","$3,515,000 "
Kansas State,Courtney Messingham,"$500,000 ","$180,000 ","$3,475,700 "
Texas,Craig Naivar,"$500,000 ","$95,000 ","$5,955,699 "
Oklahoma State,Charlie Dickey,"$500,000 ","$140,000 ","$4,210,000 "
Nebraska,Greg Austin,"$500,000 ","$200,000 ","$4,475,000 "
Mississippi,Freddie Roach,"$500,000 ","$105,000 ","$5,475,000 "
Arizona State,Antonio Pierce,"$500,000 ","$130,000 ","$4,035,000 "
UCLA,Paul Rhoads,"$500,000 ","$100,000 ","$4,230,800 "
Clemson,Mike Reed,"$496,500 ","$95,000 ","$7,410,000 "
NC State,Des Kitchings,"$492,500 ","$137,500 ","$3,795,000 "
NC State,George McDonald,"$492,500 ","$137,500 ","$3,795,000 "
Virginia Tech,Brad Cornelsen,"$490,000 ","$85,000 ","$3,670,000 "
Louisiana State,James Cregg,"$485,000 ","$75,000 ","$6,645,000 "
Florida State,Odell Haggins,"$482,000 ","$85,333 ","$5,106,583 "
Florida,Greg Knox,"$476,500 ","$190,000 ","$5,752,000 "
Georgia,Tray Scott,"$475,500 ","$195,000 ","$6,212,935 "
South Carolina,Coleman Hutzler,"$475,000 ","$115,000 ","$5,635,000 "
Florida State,Randy Clements,"$475,000 ","$42,500 ","$5,106,583 "
Nebraska,Jovan Dewitt,"$475,000 ","$190,000 ","$4,475,000 "
Oklahoma,Jay Boulware,"$470,000 ","$94,000 ","$5,835,000 "
Oklahoma,Shane Beamer,"$470,000 ","$94,000 ","$5,835,000 "
Kentucky,John Schlarman,"$465,900 ","$77,500 ","$5,147,350 "
Michigan State,Ron Burton,"$462,001 ","$159,231 ","$4,902,552 "
Purdue,Anthony Poindexter,"$460,000 ","$161,000 ","$3,535,000 "
Cincinnati,Mike Denbrock,"$460,000 ","$41,667 ","$2,710,000 "
Louisiana State,Corey Raymond,"$460,000 ","$75,000 ","$6,645,000 "
Oklahoma,Dennis Simmons,"$460,000 ","$92,000 ","$5,835,000 "
Texas A&M,Maurice Linguist,"$458,000 ","$105,000 ","$7,145,215 "
Washington,Ikaika Malloe,"$455,004 ","$91,000 ","$5,940,048 "
Florida,Ron English,"$451,500 ","$180,000 ","$5,752,000 "
Florida,Larry Scott,"$451,500 ","$180,000 ","$5,752,000 "
Florida,Brian Johnson,"$451,500 ","$180,000 ","$5,752,000 "
Kentucky,Michael Smith,"$450,750 ","$75,000 ","$5,147,350 "
Auburn,Travis Williams,"$450,500 ","$152,500 ","$5,902,500 "
Georgia Tech,Andrew Thacker,"$450,000 ",--,"$3,205,000 "
Mississippi,Derrick Nix,"$450,000 ","$105,000 ","$5,475,000 "
Indiana,Kane Wommack,"$450,000 ","$110,000 ","$3,693,922 "
UCLA,Dana Bible,"$450,000 ","$100,000 ","$4,230,800 "
Florida,Torrian Gray,"$450,000 ","$181,500 ","$5,752,000 "
Tennessee,Tee Martin,"$450,000 ","$108,000 ","$6,985,000 "
Florida State,Mark Snyder,"$450,000 ","$82,500 ","$5,106,583 "
Mississippi,Jacob Peeler,"$450,000 ","$105,000 ","$5,475,000 "
Kansas,D.J. Eliot,"$450,000 ","$135,000 ","$3,515,000 "
Houston,Joe Cauthen,"$450,000 ","$84,375 ","$2,925,000 "
Alabama,Holmon Wiggins,"$450,000 ","$99,000 ","$7,541,277 "
Michigan State,Paul Haynes,"$449,700 ","$155,769 ","$4,902,552 "
Virginia Tech,James Shibest,"$445,000 ","$80,000 ","$3,670,000 "
Michigan State,Mark Staten,"$438,000 ","$150,923 ","$4,902,552 "
Purdue,Brian Brohm,"$435,000 ","$152,250 ","$3,535,000 "
Louisiana State,Bill Busch,"$435,000 ","$75,000 ","$6,645,000 "
Louisiana State,Greg McMahon,"$435,000 ","$75,000 ","$6,645,000 "
South Carolina,"John Scott, Jr.","$435,000 ","$115,000 ","$5,635,000 "
West Virginia,Matt Moore,"$426,000 ","$95,000 ","$3,290,000 "
Oregon State,Jim Michalczik,"$425,004 ","$35,417 ","$3,100,056 "
Oklahoma,Roy Manning,"$425,000 ","$85,000 ","$5,835,000 "
Auburn,Marcus Woodson,"$425,000 ","$140,000 ","$5,902,500 "
NC State,Kevin Patrick,"$425,000 ","$100,000 ","$3,795,000 "
Colorado,Chris Kapilovic,"$425,000 ","$81,730 ","$3,155,000 "
Michigan,Michael Zordich,"$425,000 ","$70,833 ","$6,005,000 "
Texas A&M,Joe Jon Finley,"$425,000 ","$105,000 ","$7,145,215 "
Auburn,J.B. Grimes,"$425,000 ","$146,250 ","$5,902,500 "
Arizona State,Dave Christensen,"$425,000 ","$107,500 ","$4,035,000 "
Purdue,JaMarcus Shephard,"$425,000 ","$148,750 ","$3,535,000 "
Cincinnati,Marcus Freeman,"$425,000 ","$39,000 ","$2,710,000 "
Central Florida,Glen Elarbee,"$425,000 ",--,"$2,837,000 "
Michigan State,Terrence Samuel,"$422,001 ","$145,385 ","$4,902,552 "
Wisconsin,Chris Haering,"$420,200 ",--,"$4,370,811 "
Michigan State,Chuck Bullough,"$420,001 ","$145,385 ","$4,902,552 "
Oklahoma State,Joe Bob Clements,"$420,000 ","$120,000 ","$4,210,000 "
Arizona State,Shawn Slocum,"$420,000 ","$128,400 ","$4,035,000 "
Missouri,Andy Hill,"$417,500 ","$165,000 ","$4,729,500 "
Michigan,Anthony Campanile,"$415,000 ","$138,333 ","$6,005,000 "
Washington State,Jeff Phelps,"$411,500 ","$61,437 ","$3,463,790 "
Indiana,Darren Hiller,"$410,040 ","$110,000 ","$3,693,922 "
Louisiana State,Joe Brady,"$410,000 ","$75,000 ","$6,645,000 "
Purdue,Greg Brown,"$410,000 ","$143,500 ","$3,535,000 "
Indiana,Mark Hagen,"$408,000 ","$110,000 ","$3,693,922 "
California,Marques Tuiasosopo,"$401,500 ","$50,000 ","$4,084,100 "
Clemson,Mickey Conn,"$401,500 ","$95,000 ","$7,410,000 "
California,Steve Greatwood,"$401,500 ","$50,000 ","$4,084,100 "
West Virginia,Chad Scott,"$401,000 ","$95,000 ","$3,290,000 "
Kentucky,Steven Clinkscale,"$400,900 ","$66,667 ","$5,147,350 "
Texas,Oscar Giles,"$400,499 ","$95,000 ","$5,955,699 "
Iowa State,Tyson Veidt,"$400,100 ","$80,000 ","$4,236,600 "
Oregon,Donte Williams,"$400,000 ","$130,000 ","$4,967,000 "
Kansas,Tony Hull,"$400,000 ","$120,000 ","$3,515,000 "
Utah,Sharrieff Shah,"$400,000 ","$33,333 ","$4,140,000 "
Iowa State,D.K. McDonald,"$400,000 ","$80,000 ","$4,236,600 "
Iowa State,Joel Gordon,"$400,000 ","$80,000 ","$4,236,600 "
Mississippi State,Tony Hughes,"$400,000 ","$33,333 ","$3,680,000 "
North Carolina,Robert Gillespie,"$400,000 ","$66,667 ","$4,075,000 "
Houston,Doug Belk,"$400,000 ","$75,000 ","$2,925,000 "
Nebraska,Sean Beckton,"$400,000 ","$160,000 ","$4,475,000 "
Arkansas,Justin Stepp,"$400,000 ","$133,333 ","$4,925,000 "
Arizona State,Charlie Fisher,"$400,000 ","$108,000 ","$4,035,000 "
Kansas State,Conor Riley,"$400,000 ","$148,000 ","$3,475,700 "
South Carolina,Bobby Bentley,"$400,000 ","$115,000 ","$5,635,000 "
Florida State,Raymond Woodie,"$400,000 ","$71,667 ","$5,106,583 "
Mississippi State,Mike Johnson,"$400,000 ","$33,333 ","$3,680,000 "
Michigan,Shaun Nua,"$400,000 ","$66,667 ","$6,005,000 "
Minnesota,Joseph Rossi,"$400,000 ","$145,000 ","$3,055,000 "
Iowa State,Alex Golesh,"$400,000 ","$80,000 ","$4,236,600 "
Houston,Marquel Blackwell,"$400,000 ","$75,000 ","$2,925,000 "
North Carolina,Tim Brewster,"$400,000 ","$66,667 ","$4,075,000 "
Georgia Tech,Dave Patenaude,"$400,000 ",--,"$3,205,000 "
North Carolina,Lonnie Galloway,"$400,000 ","$66,667 ","$4,075,000 "
UCLA,Don Pellum,"$400,000 ","$100,000 ","$4,230,800 "
Arkansas,Dustin Fry,"$400,000 ","$133,333 ","$4,925,000 "
Mississippi State,Deke Adams,"$400,000 ","$33,333 ","$3,680,000 "
Texas,Derek Warehime,"$400,000 ","$95,000 ","$5,955,699 "
Mississippi,Jack Bicknell Jr.,"$400,000 ","$105,000 ","$5,475,000 "
Memphis,Adam Fuller,"$400,000 ","$33,333 ","$2,540,000 "
Louisville,Cort Dennison,"$400,000 ","$60,000 ","$3,820,000 "
Illinois,Gill Byrd,"$400,000 ","$84,000 ","$3,446,000 "
Wisconsin,Ted Gilmore,"$395,200 ",--,"$4,370,811 "
Wisconsin,Inoke Breckterfield,"$395,200 ",--,"$4,370,811 "
Iowa,Tim Polasek,"$390,000 ",--,"$4,710,600 "
Iowa,LeVar Woods,"$385,000 ",--,"$4,710,600 "
Washington,Keith Bhonapha,"$380,004 ","$91,000 ","$5,940,048 "
South Florida,Kerwin Bell,"$380,000 ","$76,000 ","$2,325,000 "
Clemson,Todd Bates,"$376,500 ","$95,000 ","$7,410,000 "
Kentucky,Dean Hood,"$375,900 ","$62,500 ","$5,147,350 "
Oklahoma,Brian Odom,"$375,000 ","$75,000 ","$5,835,000 "
Nebraska,Tony Tuioti,"$375,000 ","$150,000 ","$4,475,000 "
Oklahoma State,Tim Duffie,"$375,000 ","$108,750 ","$4,210,000 "
Maryland,Joker Phillips,"$375,000 ","$137,500 ","$3,690,000 "
Florida State,David Kelly,"$375,000 ","$67,500 ","$5,106,583 "
Virginia,Kelly Poppinga,"$375,000 ","$87,500 ","$3,400,000 "
Florida,David Turner,"$375,000 ","$151,500 ","$5,752,000 "
Central Florida,Jeff Lebby,"$375,000 ",--,"$2,837,000 "
Mississippi,Charles Clark,"$375,000 ","$105,000 ","$5,475,000 "
Maryland,John Reagan,"$375,000 ","$137,500 ","$3,690,000 "
Washington,Junior Adams,"$375,000 ","$91,000 ","$5,940,048 "
Iowa,Kelvin Bell,"$375,000 ",--,"$4,710,600 "
Oklahoma,Calvin Thibodeaux,"$375,000 ","$75,000 ","$5,835,000 "
Nebraska,Mario Verduzco,"$375,000 ","$150,000 ","$4,475,000 "
Texas Tech,Mark Tommerdahl,"$373,333 ","$124,444 ","$3,331,333 "
Wisconsin,John Settle,"$370,200 ",--,"$4,370,811 "
Wisconsin,Robert Bostad,"$370,200 ",--,"$4,370,811 "
Louisville,Gunter Brewer,"$370,000 ","$55,500 ","$3,820,000 "
