SCHOOL,COACH,ASST TOTAL PAY,ASST BONUS,ASST PAY TOTAL
Georgia State,Jimmy Smith,"$95,000 ","$10,000 ","$1,260,000 "
Georgia Southern,Lamar Owens,"$95,000 ","$22,500 ","$1,350,000 "
Northern Illinois,Atif Austin,"$95,000 ",--,"$1,030,000 "
Central Michigan,Mark DeBastiani,"$95,000 ",--,"$965,000 "
Marshall,Chip West,"$95,000 ","$15,833 ","$1,147,000 "
Western Michigan,James Adams,"$95,000 ","$5,000 ","$1,138,000 "
Akron,Chris Hurd,"$95,000 ",--,"$963,000 "
UAB,Jay Simpson,"$95,000 ","$7,917 ","$1,270,250 "
Georgia State,Aairon Savage,"$95,000 ","$10,000 ","$1,260,000 "
Toledo,Hank Poteat,"$95,000 ",--,"$1,054,812 "
Miami (Ohio),Lamar Conard,"$94,614 ","$17,500 ","$1,099,612 "
Toledo,Kevin Beard,"$94,491 ",--,"$1,054,812 "
Ball State,Patrick Dougherty,"$94,109 ","$11,000 ","$984,832 "
Western Kentucky,Jimmy Lindsey,"$93,050 ",--,"$1,068,348 "
Coastal Carolina,Newland Isaac,"$93,024 ",--,"$1,162,371 "
Georgia Southern,Victor Cabral,"$93,000 ","$22,500 ","$1,350,000 "
Western Michigan,Dontae Wright,"$93,000 ","$5,000 ","$1,138,000 "
Eastern Michigan,Rob Reeves,"$93,000 ",--,"$1,011,515 "
New Mexico State,Oliver Soukup,"$92,500 ","$2,000 ","$862,501 "
Eastern Michigan,Ben Needham,"$92,000 ",--,"$1,011,515 "
Middle Tennessee,Tommy West,"$91,900 ","$11,250 ","$1,299,850 "
Florida,Christian Robinson,"$91,500 ","$36,000 ","$5,752,000 "
Texas-San Antonio,Will Thomas,"$91,350 ","$20,000 ","$1,310,200 "
Texas-San Antonio,Rishaw Johnson,"$91,350 ","$20,000 ","$1,310,200 "
Arkansas State,Kyle Cefalo,"$91,100 ","$11,250 ","$1,183,300 "
Arkansas State,Nick Paremski,"$91,100 ","$11,250 ","$1,183,300 "
New Mexico,Clay Davie,"$91,050 ",--,"$1,506,115 "
Marshall,Pepe Pearson,"$91,000 ","$15,000 ","$1,147,000 "
Marshall,Cornell Brown,"$91,000 ","$15,000 ","$1,147,000 "
Texas State,Tremaine Jackson,"$90,000 ","$11,250 ","$1,306,725 "
Nevada,Vai Taua,"$90,000 ","$43,125 ","$1,472,524 "
Utah State,Mark Orphey,"$90,000 ","$7,500 ","$1,780,000 "
Northern Illinois,Jordan Gigli,"$90,000 ",--,"$1,030,000 "
Georgia Southern,Kevin Whitley,"$90,000 ","$22,500 ","$1,350,000 "
Bowling Green,Erik Campbell,"$90,000 ","$7,000 ","$925,860 "
Coastal Carolina,Bryant Foster,"$90,000 ",--,"$1,162,371 "
Texas-San Antonio,Giovanni Vizza,"$90,000 ","$20,000 ","$1,310,200 "
Ball State,Kevin Lynch,"$90,000 ","$11,000 ","$984,832 "
UL Monroe,Joey Fitzgerald,"$90,000 ",--,"$940,000 "
Eastern Michigan,Fred Reed,"$90,000 ",--,"$1,011,515 "
Appalachian State,Charlie Harbison,"$90,000 ","$36,000 ","$1,144,990 "
Western Kentucky,Andy LaRussa,"$90,000 ",--,"$1,068,348 "
Southern Mississippi,Paul Gonnella,"$90,000 ","$7,500 ","$1,225,000 "
Appalachian State,D.J. Smith,"$90,000 ","$36,000 ","$1,144,990 "
Massachusetts,Angelo Mirando,"$90,000 ","$12,000 ","$1,051,300 "
Charlotte,Max Thurmond,"$89,000 ","$4,450 ","$1,220,500 "
Ball State,Alex Bailey,"$88,881 ","$11,000 ","$984,832 "
Miami (Ohio),Pat Welsh,"$88,614 ","$16,500 ","$1,099,612 "
Miami (Ohio),Israel Woolfork,"$88,614 ","$16,500 ","$1,099,612 "
Akron,Oscar Rodriguez Jr.,"$88,000 ",--,"$963,000 "
Toledo,Robby Discher,"$87,835 ",--,"$1,054,812 "
Ball State,Mike Dietzel,"$87,500 ","$11,000 ","$984,832 "
South Alabama,Larry Warner,"$87,500 ","$10,000 ","$1,242,200 "
Coastal Carolina,Willy Korn,"$86,047 ",--,"$1,162,371 "
Coastal Carolina,T.J. Hollowell,"$85,680 ",--,"$1,162,371 "
Marshall,Dallas Baker,"$85,000 ","$14,167 ","$1,147,000 "
Ball State,Tyler Stockton,"$85,000 ","$11,000 ","$984,832 "
Southern Mississippi,Reed Stringer,"$85,000 ","$7,083 ","$1,225,000 "
UL Monroe,Perry Carter,"$85,000 ",--,"$940,000 "
Akron,Chris Cook,"$85,000 ",--,"$963,000 "
Louisiana Tech,Brock Hays,"$85,000 ",--,"$1,213,000 "
UL Monroe,Anthony Camp,"$85,000 ",--,"$940,000 "
Central Michigan,Tavita Thompson,"$85,000 ",--,"$965,000 "
Miami (Ohio),E.J. Whitlow,"$84,614 ","$15,833 ","$1,099,612 "
Wyoming,Gordie Haug,"$82,804 ","$6,667 ","$1,853,286 "
Central Michigan,Cornell Jackson,"$82,500 ",--,"$965,000 "
Central Michigan,David Rowe,"$82,500 ",--,"$965,000 "
New Mexico State,John Mumford,"$82,500 ","$2,000 ","$862,501 "
Central Michigan,Ryan Beard,"$82,500 ",--,"$965,000 "
Ball State,Keith McKenzie,"$82,416 ","$11,000 ","$984,832 "
Texas El Paso,Remington Rebstock,"$82,000 ",--,"$1,387,560 "
Eastern Michigan,Darren Paige,"$82,000 ",--,"$1,011,515 "
Middle Tennessee,Jeff Beckles,"$81,900 ","$10,000 ","$1,299,850 "
Buffalo,Jeff Burrow,"$81,600 ",--,"$1,148,761 "
New Mexico State,Brian Bell,"$81,500 ","$2,000 ","$862,501 "
Ohio,De'Angelo Smith,"$81,398 ",--,"$1,069,963 "
New Mexico State,Cory Martin,"$80,935 ","$2,000 ","$862,501 "
New Mexico State,Chase Holbrook,"$80,935 ","$2,000 ","$862,501 "
Western Kentucky,Mike Goff,"$80,004 ",--,"$1,068,348 "
Bowling Green,Chris Hedden,"$80,000 ","$7,000 ","$925,860 "
Bowling Green,Max Warner,"$80,000 ","$7,000 ","$925,860 "
North Texas,Patrick Cobbs,"$80,000 ","$6,667 ","$1,775,000 "
Florida Atlantic,Jason Jones,"$80,000 ","$2,500 ","$1,255,000 "
Toledo,Larry Black,"$80,000 ",--,"$1,054,812 "
Massachusetts,Jon Bills,"$80,000 ","$12,000 ","$1,051,300 "
Akron,Jonathan Cooley,"$80,000 ",--,"$963,000 "
Akron,Jayden Everett,"$80,000 ",--,"$963,000 "
Akron,Bryan Gasser,"$80,000 ",--,"$963,000 "
Miami (Ohio),Doug Shearer,"$80,000 ","$15,333 ","$1,099,612 "
Massachusetts,Fredi Knighten,"$80,000 ","$12,000 ","$1,051,300 "
Charlotte,Mark Carney,"$80,000 ","$4,000 ","$1,220,500 "
Akron,Brian Cochran,"$80,000 ",--,"$963,000 "
Texas El Paso,Scotty Ohara,"$80,000 ","$31,665 ",--
San Diego State,Demetrius Sumler,"$79,572 ","$21,689 ","$1,801,636 "
New Mexico State,Matt Christian,"$79,131 ","$2,000 ","$862,501 "
Eastern Michigan,Jay Nunez,"$78,500 ",--,"$1,011,515 "
Western Kentucky,Maurice Crum,"$77,774 ",--,"$1,068,348 "
UNLV,Eric Brown,"$77,250 ","$6,437 ","$1,642,963 "
Buffalo,Alan Hensell,"$76,500 ",--,"$1,148,761 "
Buffalo,Taiwo Onatolu,"$76,500 ",--,"$1,148,761 "
Central Michigan,Justin Hinds,"$76,000 ",--,"$965,000 "
Ohio,Tremayne Scott,"$75,801 ",--,"$1,069,963 "
Old Dominion,John Allen,"$75,390 ",--,"$1,138,911 "
UL Monroe,Bakari Guice,"$75,000 ",--,"$940,000 "
Troy,Cole Weeks,"$75,000 ","$9,375 ","$1,415,000 "
Western Kentucky,Garret Chachere,"$75,000 ",--,"$1,068,348 "
Marshall,Brad Lambert,"$75,000 ","$12,500 ","$1,147,000 "
UL Monroe,Joseph Graves,"$75,000 ",--,"$940,000 "
Texas State,Nick Whitworth,"$75,000 ","$9,375 ","$1,306,725 "
Kent State,Matthew Middleton,"$73,000 ",--,"$879,567 "
Bowling Green,Jacob Schoonover,"$72,930 ","$7,000 ","$925,860 "
Bowling Green,LaMarcus Hicks,"$72,930 ","$7,000 ","$925,860 "
Texas El Paso,Jake Waters,"$72,500 ",--,"$1,387,560 "
Kent State,Colin Ferrell,"$72,000 ",--,"$879,567 "
Eastern Michigan,Sam Sewell,"$71,000 ",--,"$1,011,515 "
Massachusetts,Jason Tudryn,"$70,400 ","$12,000 ","$1,051,300 "
Northern Illinois,Travis Moore,"$70,000 ",--,"$1,030,000 "
Arkansas State,Brandon Joiner,"$70,000 ","$8,750 ","$1,183,300 "
Southern Mississippi,Akeem Davis,"$70,000 ","$5,833 ","$1,225,000 "
Northern Illinois,Tony Sorrentino,"$70,000 ",--,"$1,030,000 "
Kent State,Joe Coniglio,"$70,000 ",--,"$879,567 "
Arkansas State,Rashad Jackson,"$70,000 ","$8,750 ","$1,183,300 "
Arkansas State,Desmond Lindsey,"$70,000 ","$8,750 ","$1,183,300 "
Charlotte,Montario Hardesty,"$70,000 ","$3,500 ","$1,220,500 "
Massachusetts,Cedric Douglas,"$70,000 ","$12,000 ","$1,051,300 "
Kent State,Justin Hood,"$68,000 ",--,"$879,567 "
Middle Tennessee,Dustin Royston,"$66,900 ","$8,125 ","$1,299,850 "
Middle Tennessee,Austin Silvoy,"$66,900 ","$8,125 ","$1,299,850 "
Middle Tennessee,Siriki Diabate,"$66,900 ","$8,125 ","$1,299,850 "
Kent State,Will Windham,"$66,300 ",--,"$879,567 "
Ohio,Nate Faanes,"$65,650 ",--,"$1,069,963 "
Toledo,Nate Cole,"$65,000 ",--,"$1,054,812 "
Middle Tennessee,Kenneth Gilstrap,"$65,000 ","$8,125 ","$1,299,850 "
Georgia Southern,Andrew Dodge,"$65,000 ","$23,500 ","$1,350,000 "
South Alabama,Mike Bangston,"$62,500 ","$6,875 ","$1,242,200 "
Old Dominion,Daric Riley,"$61,800 ",--,"$1,138,911 "
Western Kentucky,Zach Lankford,"$60,004 ",--,"$1,068,348 "
Massachusetts,Micah James,"$60,000 ","$12,000 ","$1,051,300 "
UL Monroe,Tyler Bolfing,"$60,000 ",--,"$940,000 "
Southern Mississippi,Chris Buckner,"$60,000 ","$5,000 ","$1,225,000 "
Florida Atlantic,Jaron Fairman,"$60,000 ","$2,500 ","$1,255,000 "
Florida Atlantic,Jeff Norrid,"$60,000 ","$2,500 ","$1,255,000 "
Bowling Green,Louie Addazio,"$60,000 ","$7,000 ","$925,860 "
Western Kentucky,Chris Chestnut,"$60,000 ",--,"$1,068,348 "
Ball State,Cory Connolly,"$60,000 ","$11,000 ","$984,832 "
Louisiana Tech,Dennis Smith,"$60,000 ",--,"$1,213,000 "
Washington State,Tim Burmeister,"$59,169 ",--,"$3,463,790 "
Kent State,Macky Macpherson,"$58,140 ",--,"$879,567 "
Western Kentucky,Kenny Martin,"$56,258 ",--,"$1,068,348 "
Texas State,Morris Berger,"$50,000 ","$6,250 ","$1,306,725 "
New Mexico State,Chili Davis,"$50,000 ","$2,000 ","$862,501 "
Bowling Green,Julian Campenni,"$50,000 ","$7,000 ","$925,860 "
New Mexico State,Ronnie Pentz,"$50,000 ","$2,000 ","$862,501 "
Texas State,Tevin Mims,"$50,000 ","$6,250 ","$1,306,725 "
Northern Illinois,Houston Jones,"$50,000 ",--,"$1,030,000 "
Northern Illinois,Aaron Wilkins,"$45,000 ",--,"$1,030,000 "
Charlotte,Cody Woodiel,"$40,000 ","$2,000 ","$1,220,500 "
Old Dominion,Bryan Stinespring,"$36,050 ",--,"$1,138,911 "
Old Dominion,Frank Wilson (ODU),"$36,050 ",--,"$1,138,911 "
Charlotte,Tommy Langford,"$31,500 ","$1,575 ","$1,220,500 "
North Texas,Tommy Mangino,"$30,000 ","$1,500 ",--
Florida State,Jim Leavitt,"$23,333 ",--,"$5,106,583 "
Rutgers,John Weiss,"$22,917 ","$8,333 ","$3,221,042 "
Rutgers,Drew Lascari,"$12,875 ",--,"$3,221,042 "
Florida State,Mario Edwards,"$11,250 ",--,"$5,106,583 "
Arkansas,Daniel Da Prato,"$10,000 ",--,"$4,925,000 "
Southern Methodist,Jonathan Brewer,$0 ,$0 ,--
Temple,Ed Foley,$0 ,$0 ,--
Southern Methodist,Brett Diersen,$0 ,$0 ,--
Arizona,Hank Hobson,--,--,"$2,990,000 "
Notre Dame,Terry Joseph,--,--,--
Navy,Kevin Downing,--,--,--
Pittsburgh,Archie Collins,--,--,--
Baylor,Frisman Jackson,--,--,--
Notre Dame,Jeff Quinn,--,--,--
Syracuse,Steve Stanard,--,--,--
Navy,Jason McDonald,--,--,--
Pittsburgh,Cory Sanders,--,--,--
Duke,Ben Albert,--,--,--
Tulsa,Calvin Lowry,--,--,--
Air Force,Ron Vanderlinden,--,--,--
Southern Methodist,David Gru,--,--,--
Brigham Young,A.J. Steward,--,--,--
Navy,P.J. Volker,--,--,--
Rice,Brian Smith,--,--,--
Penn State,Tim Banks,--,--,--
Duke,Zac Roper,--,--,--
Southern Methodist,Kevin Kane,--,--,--
Tulane,Jamaal Fobbs,--,--,--
Southern Methodist,Josh Martin,--,--,--
Vanderbilt,Marc Mattioli,--,--,--
Texas Christian,Paul Gonzales,--,--,--
Rice,Cedric Calhoun,--,--,--
Notre Dame,Mike Elston,--,--,--
Brigham Young,Preston Hadley,--,--,--
Air Force,Terrance Jamison,--,--,--
Southern California,Tim Drevno,--,--,--
Liberty,Kyle Pope,--,--,--
Southern Methodist,Kevin Curtis,--,--,--
Temple,Jeff Knowles,--,--,--
Rice,Joe Ashfield,--,--,--
Wake Forest,Warren Ruggiero,--,--,--
Duke,Lanier Goethie,--,--,--
Hawaii,Corey Batoon,--,--,--
Brigham Young,Jeff Grimes,--,--,--
Stanford,Diron Reynolds,--,--,--
Baylor,Evan Cooper,--,--,--
Temple,Gabe Infante,--,--,--
Tulsa,Beau Trahan,--,--,--
Penn State,Matt Limegrover,--,--,--
Texas Christian,Chad Glasgow,--,--,--
Northwestern,Dennis Springer,--,--,--
Temple,Tyler Yelk,--,--,--
Wake Forest,Wayne Lineburg,--,--,--
Navy,Brian Norwood,--,--,--
Tulane,Will Hall,--,--,--
Northwestern,Mike Hankwitz,--,--,--
Vanderbilt,Cameron Norcross,--,--,--
Northwestern,Bob Heffner,--,--,--
Air Force,Ari Confesor,--,--,--
Temple,Thad Ward,--,--,--
Air Force,John Rudzinski,--,--,--
Vanderbilt,Gerry Gdowski,--,--,--
Liberty,Sam Gregg,--,--,--
Brigham Young,Jernaro Gilford,--,--,--
Penn State,Terry Smith,--,--,--
Hawaii,Abe Elimimian,--,--,--
Tulane,J.J. McCleskey,--,--,--
Army,Mike Krysl,--,--,--
Southern California,Chad Kauha'aha'a,--,--,--
Hawaii,Michael Ghobrial,--,--,--
Duke,Derek Jones,--,--,--
Wake Forest,Tyler Santucci,--,--,--
Navy,Billy Stutzmann,--,--,--
Stanford,Lance Anderson,--,--,--
Air Force,Jonathan Wallace,--,--,--
Southern California,Joe DeForest,--,--,--
Wake Forest,Brad Sherrod,--,--,--
Stanford,Tavita Pritchard,--,--,--
Tulane,Jack Curtis,--,--,--
Rice,Bill Best,--,--,--
Liberty,Scott Symons,--,--,--
Liberty,Maurice Harris,--,--,--
Notre Dame,Chip Long,--,--,--
Vanderbilt,Devin Fitzsimmons,--,--,--
Hawaii,Craig Stutzmann,--,--,--
Southern Methodist,Ra'Shaad Samples,--,--,--
Baylor,Shawn Bell,--,--,--
Wake Forest,Lyle Hemphill,--,--,--
Northwestern,Louis Ayeni,--,--,--
Tulsa,Luke Olson,--,--,--
Vanderbilt,Jovan Haye,--,--,--
Texas Christian,Zarnell Fitch,--,--,--
Duke,Jeffrey Faris,--,--,--
Syracuse,Nick Monroe,--,--,--
Wake Forest,Dave Cohen,--,--,--
Miami,Mike Rumph,--,--,--
Texas Christian,Jeremy Modkins,--,--,--
Syracuse,Kirk Martin,--,--,--
Rice,Mike Kershaw,--,--,--
Temple,Walter Stewart,--,--,--
Miami,Dan Enos,--,--,--
Stanford,Peter Hansen,--,--,--
Liberty,Tanner Burns,--,--,--
Air Force,Brian Knorr,--,--,--
Southern California,Graham Harrell,--,--,--
Syracuse,Vinson Reynolds,--,--,--
Tulane,Slade Nagle,--,--,--
Wake Forest,Nicholas Tabacca,--,--,--
Southern Methodist,Rhett Lashlee,--,--,--
Northwestern,Kurt Anderson,--,--,--
Southern California,Clancy Pendergast,--,--,--
Air Force,Chip Vaughn,--,--,--
Boston College,Brian White,--,--,--
Boston College,Jim Reid,--,--,--
Stanford,Duane Akina,--,--,--
Air Force,Mike Thiessen,--,--,--
Southern Methodist,Chris Brasfield,--,--,--
Army,Josh Christian-Young,--,--,--
Pittsburgh,Dave Borbely,--,--,--
Tulane,Coby Kennedy,--,--,--
Tulsa,Carlton Buckels,--,--,--
Army,John Loose,--,--,--
Army,Daryl Dixon,--,--,--
Duke,Matt Guerrieri,--,--,--
Duke,Jim Bridge,--,--,--
Stanford,Pete Alamar,--,--,--
Notre Dame,DelVaughn Alexander,--,--,--
Vanderbilt,Terrence Brown,--,--,--
Hawaii,Mark Banker,--,--,--
Navy,Ashley Ingram,--,--,--
Stanford,Morgan Turner,--,--,--
Boston College,Antoine Smith,--,--,--
Pittsburgh,Chris Beatty,--,--,--
Penn State,Ricky Rahne,--,--,--
Army,Matt Hachmann,--,--,--
Rice,Robbie Picazo,--,--,--
Southern California,John Baxter,--,--,--
Rice,Drew Svoboda,--,--,--
Tulane,Jeff Conway,--,--,--
Notre Dame,Lance Taylor,--,--,--
Northwestern,Matt MacPherson,--,--,--
Temple,Joe Tripodi,--,--,--
Stanford,Bobby Kennedy,--,--,--
Baylor,Marcus Satterfield,--,--,--
Hawaii,Ricky Logo,--,--,--
Vanderbilt,Tim Horton,--,--,--
Southern California,Keary Colbert,--,--,--
Wake Forest,Kevin Higgins,--,--,--
Brigham Young,Ilaisa Tuiaki,--,--,--
Baylor,Mike Siravo,--,--,--
Temple,Craig Harmon,--,--,--
Syracuse,Brian Ward,--,--,--
Penn State,Ja'Juan Seider,--,--,--
Notre Dame,Clark Lea,--,--,--
Hawaii,Andre Allen,--,--,--
Tulsa,Aaron Fletcher,--,--,--
Texas Christian,Malcolm Kelly,--,--,--
Southern California,Johnny Nansen,--,--,--
Tulsa,Justin Hill,--,--,--
Hawaii,Brian Smith,--,--,--
Navy,Jerrick Hall,--,--,--
Vanderbilt,Aaron Moorehead,--,--,--
Army,Mitch Ware,--,--,--
Duke,Trooper Taylor,--,--,--
Miami,Butch Barry,--,--,--
Syracuse,Reno Ferri,--,--,--
Duke,Re'quan Boyette,--,--,--
Navy,Ivin Jasper,--,--,--
Texas Christian,Curtis Luper,--,--,--
Brigham Young,Eric Mateos,--,--,--
Vanderbilt,Matt Weikert,--,--,--
Pittsburgh,Rob Harley,--,--,--
Temple,Melvin Rice,--,--,--
Pittsburgh,Charlie Partridge,--,--,--
Southern Methodist,Randall Joyner,--,--,--
Baylor,Glenn Thomas,--,--,--
Brigham Young,Aaron Roderick,--,--,--
Navy,Steve Johns,--,--,--
Miami,Eric Hickson,--,--,--
Tulane,Kevin Peoples,--,--,--
Baylor,Frank Okam,--,--,--
Army,Sean Saturnio,--,--,--
Texas Christian,Dan Sharp,--,--,--
Syracuse,Justin Lustig,--,--,--
Southern Methodist,Trey Haverty,--,--,--
Texas Christian,Jarrett Anderson,--,--,--
Army,Kevin Corless,--,--,--
Tulsa,Joseph Gillespie,--,--,--
Temple,Francis Brown,--,--,--
Navy,Robert Green,--,--,--
Boston College,Phil Trautwein,--,--,--
Brigham Young,Fesi Sitake,--,--,--
Tulsa,Mike Bloesch,--,--,--
Air Force,Jacob Campbell,--,--,--
Baylor,Joey McGuire,--,--,--
Wake Forest,John Hunter,--,--,--
Miami,Stephen Field,--,--,--
Tulsa,Jordan Najvar,--,--,--
Duke,Kirk Benedict,--,--,--
Army,Brent Davis,--,--,--
Miami,Ephraim Banda,--,--,--
Army,Tucker Waugh,--,--,--
Navy,Danny O'Rourke,--,--,--
Stanford,Ron Gould,--,--,--
Air Force,Ben Miller,--,--,--
Hawaii,Jacob Yoro,--,--,--
Boston College,Ricky Brown,--,--,--
Temple,Mike Uremovich,--,--,--
Liberty,Bruce Johnson,--,--,--
Liberty,Josh Aldridge,--,--,--
Boston College,Bill Sheridan,--,--,--
Air Force,Andre Morris,--,--,--
Penn State,Joe Lorig,--,--,--
Northwestern,Marty Long,--,--,--
Pittsburgh,Andre Powell,--,--,--
Miami,Taylor Stubblefield,--,--,--
Northwestern,Jeff Genyk,--,--,--
Boston College,Frank Leonard,--,--,--
Rice,Scott Vestal,--,--,--
Syracuse,Kim McCloud,--,--,--
Notre Dame,Tom Rees,--,--,--
Miami,Jonathan Patke,--,--,--
Boston College,Eric Lewis,--,--,--
Syracuse,Mike Cavanaugh,--,--,--
Southern California,Mike Jinks,--,--,--
Arizona,Chuck Cecil,--,--,"$2,990,000 "
Syracuse,Mike Lynch,--,--,--
Army,Pat Tresey,--,--,--
Brigham Young,Steve Clark,--,--,--
Tulane,Michael Mutz,--,--,--
Vanderbilt,Jason Tarver,--,--,--
Tulane,Chris Hampton,--,--,--
Tulsa,Jermial Ashley,--,--,--
Navy,Mick Yokitis,--,--,--
Miami,Todd Stroud,--,--,--
Penn State,Tyler Bowen,--,--,--
Rice,Jerry Mack,--,--,--
Brigham Young,Ed Lamb,--,--,--
Northwestern,Tim McGarigle,--,--,--
Pittsburgh,Mark Whipple,--,--,--
Rice,Gerard Wilcher,--,--,--
Texas Christian,Chris Thomsen,--,--,--
Liberty,Ricky Hunley,--,--,--
Southern Methodist,A.J. Ricker,--,--,--
Air Force,Alex Means,--,--,--
Miami,Blake Baker,--,--,--
Wake Forest,Ryan Crawford,--,--,--
Navy,Joe DuPaix,--,--,--
Army,Marcus Edwards,--,--,--
Liberty,Kent Austin,--,--,--
Pittsburgh,Randy Bates,--,--,--
Notre Dame,Brian Polian,--,--,--
Army,Mike Viti,--,--,--
Pittsburgh,Tim Salem,--,--,--
Penn State,Sean Spencer,--,--,--
Southern California,Greg Burns,--,--,--
Notre Dame,Todd Lyght,--,--,--
Northwestern,Mick McCall,--,--,--
Stanford,Kevin Carberry,--,--,--
Army,Kevin Lewis,--,--,--
Air Force,Steed Lobotzke,--,--,--
Liberty,Ben Aigamaua,--,--,--
Boston College,Mike Bajakian,--,--,--
Air Force,Jordan Eason,--,--,--
Penn State,Gerad Parker,--,--,--
Baylor,Jeff Nixon,--,--,--
Boston College,Rich Gunnell,--,--,--
Hawaii,Mark Weber,--,--,--
Navy,Brian Newberry,--,--,--
